Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,11,1,12,"1, 4, 5, 9,10,11,13,16,17,18","12, 2, 3, 6, 7, 8,14,15,19,20",1500,1500,78,94.918,1422,1405.082,3000,2827.082,1413.541,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,80,133,171,188,248,286,334,383.2,415.59,474.59"
1,12,1,13,"1, 4, 8,12,16,17,18","13, 2, 3, 5, 6, 7, 9,10,11,14,15,19,20",1050,1950,44.46,138.258,1005.54,1811.742,3000,2817.282,1408.641,7,13,"0,21,75,99,121.4,148.2,174.3,222.3","0,78,131,182,216,233,275,342.1,401.7,455.7,503.7,552.9,585.29,691.29"
1,13,1,14,"1, 4, 5, 9,10,11,13,16,17,18","14, 2, 3, 6, 7, 8,12,15,19,20",1500,1500,78,86.718,1422,1413.282,3000,2835.282,1417.641,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,58,111,149,166,226,250,310,359.2,391.59,433.59"
1,14,1,15,"1, 4, 5, 9,10,11,13,18","15, 2, 3, 6, 7, 8,12,14,16,17,19,20",1200,1800,62.26,90.958,1137.74,1709.042,3000,2846.782,1423.391,8,12,"0,21,63,75,142.1,201.7,239.9,263.3,311.3","0,75,128,166,183,243,267,290,317.5,344.3,405.4,437.79,454.79"
1,15,1,16,"1, 2, 3, 6, 7, 8,12,14,15,19,20","16, 4, 5, 9,10,11,13,17,18",1650,1350,104.118,67.9,1545.882,1282.1,3000,2827.982,1413.991,11,9,"0,97,150,188,205,265,289,312,360,409.2,441.59,520.59","0,29,71,83,150.1,209.7,247.9,287.3,313.4,339.5"
1,16,1,17,"1, 3, 4, 5, 9,10,11,13,18","17, 2, 6, 7, 8,12,14,15,16,19,20",1350,1650,82.46,99.898,1267.54,1550.102,3000,2817.642,1408.821,9,11,"0,55,122,164,176,243.1,302.7,340.9,364.3,412.3","0,49,78,95,155,179,202,250,324.8,400.5,432.89,499.49"
1,17,1,18,"1, 4, 5, 9,11,13,14,15,20","18, 2, 3, 6, 7, 8,10,12,16,17,19",1350,1650,69.346,115.36,1280.654,1534.64,3000,2815.294,1407.647,9,11,"0,21,63,75,95.5,133.7,202.7,250.7,267.73,346.73","0,74,127,165,182,242,314.5,379.5,401.9,428.7,489.8,576.8"
1,18,1,19,"1, 4, 5, 9,11,13,16,17,18","19, 2, 3, 6, 7, 8,10,12,14,15,20",1350,1650,56.76,91.186,1293.24,1558.814,3000,2852.054,1426.027,9,11,"0,21,63,75,95.5,133.7,182.9,209.7,235.8,283.8","0,30,83,121,138,198,270.5,335.5,358.5,406.5,423.53,455.93"
1,19,1,20,"1, 4, 5, 6, 7, 9,11,13,18","20, 2, 3, 8,10,12,14,15,16,17,19",1350,1650,57.22,111.318,1292.78,1538.682,3000,2831.462,1415.731,9,11,"0,21,63,97,114,156,176.5,214.7,238.1,286.1","0,58,111,153,225.5,290.5,313.5,361.5,436.3,463.1,524.2,556.59"
1,20,5,1,"5, 6, 7,10,12,16,17,18","1, 2, 3, 4, 8, 9,11,13,14,15,19,20",1200,1800,46.06,137.058,1153.94,1662.942,3000,2816.882,1408.441,8,12,"0,34,51,78,143,165.4,192.2,218.3,230.3","0,97,150,217,271,349,369.5,407.7,476.7,524.7,573.9,606.29,685.29"
1,21,5,2,"5, 1, 4, 6, 7, 9,10,11,13,18","2, 3, 8,12,14,15,16,17,19,20",1500,1500,80.26,88.618,1419.74,1411.382,3000,2831.122,1415.561,10,10,"0,49,70,142,159,201,268.1,327.7,365.9,389.3,401.3","0,53,95,119,142,190,264.8,291.6,352.7,385.09,443.09"
1,22,5,3,"5, 1, 2, 4, 9,11,13,16,17,18","3, 6, 7, 8,10,12,14,15,19,20",1500,1500,94.56,86.618,1405.44,1413.382,3000,2818.822,1409.411,10,10,"0,49,146,246,300,320.5,358.7,407.9,434.7,460.8,472.8","0,38,55,115,187.5,252.5,275.5,323.5,372.7,405.09,433.09"
1,23,5,4,"5, 6, 7, 8,12,16,17,18","4, 1, 2, 3, 9,10,11,13,14,15,19,20",1200,1800,44.46,137.098,1155.54,1662.902,3000,2818.442,1409.221,8,12,"0,34,51,111,135,157.4,184.2,210.3,222.3","0,21,118,171,228,295.1,354.7,392.9,461.9,509.9,559.1,591.49,685.49"
1,24,5,6,"5, 1, 2, 3, 4, 9,10,11,13,14,15,19,20","6, 7, 8,12,16,17,18",1950,1050,152.298,44.46,1797.702,1005.54,3000,2803.242,1401.621,13,7,"0,49,146,199,266,320,387.1,446.7,484.9,553.9,601.9,651.1,683.49,761.49","0,17,77,101,123.4,150.2,176.3,222.3"
1,25,5,7,"5, 6, 9,11,13,18","7, 1, 2, 3, 4, 8,10,12,14,15,16,17,19,20",900,2100,31.62,155.518,868.38,1944.482,3000,2812.862,1406.431,6,14,"0,34,64,84.5,122.7,146.1,158.1","0,63,160,213,280,334,406.5,471.5,494.5,542.5,617.3,644.1,705.2,737.59,777.59"
1,26,5,8,"5, 6, 7, 9,10,11,13,16,17,18","8, 1, 2, 3, 4,12,14,15,19,20",1500,1500,74.4,99.318,1425.6,1400.682,3000,2826.282,1413.141,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,33,130,183,250,287,310,358,407.2,439.59,496.59"
1,27,5,9,"5, 1, 2, 3, 4, 6, 7, 8,12,14,15,16,17,19,20","9,10,11,13,18",2250,750,156.618,41.46,2093.382,708.54,3000,2801.922,1400.961,15,5,"0,49,146,199,266,338,355,415,439,462,510,584.8,611.6,672.7,705.09,783.09","0,67.1,126.7,164.9,188.3,207.3"
1,28,5,10,"5, 8,12,14,15,19,20","10, 1, 2, 3, 4, 6, 7, 9,11,13,16,17,18",1050,1950,64.318,134.64,985.682,1815.36,3000,2801.042,1400.521,7,13,"0,67,91,114,162,211.2,243.59,321.59","0,85,182,235,302,374,391,433,453.5,491.7,540.9,567.7,593.8,673.2"
1,29,5,11,"5, 6, 7, 9,13,16,17,18","11, 1, 2, 3, 4, 8,10,12,14,15,19,20",1200,1800,46.44,143.698,1153.56,1656.302,3000,2809.862,1404.931,8,12,"0,34,51,93,118.1,167.3,194.1,220.2,232.2","0,78,175,228,295,349,421.5,486.5,509.5,557.5,606.7,639.09,718.49"
1,30,5,12,"5, 6, 7, 9,10,11,13,16,17,18,19","12, 1, 2, 3, 4, 8,14,15,20",1650,1350,104.4,90.806,1545.6,1259.194,3000,2804.794,1402.397,11,9,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,447,522","0,21,118,171,238,292,330,378,395.03,454.03"
1,31,5,13,"5, 6, 7,10,14,15,19,20","13, 1, 2, 3, 4, 8, 9,11,12,16,17,18",1200,1800,65.518,121.44,1134.482,1678.56,3000,2813.042,1406.521,8,12,"0,34,51,78,120,168,217.2,249.59,327.59","0,71,168,221,288,342,420,440.5,508.5,530.9,557.7,583.8,607.2"
1,32,5,14,"5, 6, 7,10,11,12,15,19,20","14, 1, 2, 3, 4, 8, 9,13,16,17,18",1350,1650,85.038,113.64,1264.962,1536.36,3000,2801.322,1400.661,9,11,"0,34,51,78,137.6,205.6,265.6,314.8,347.19,425.19","0,43,140,193,260,314,392,417.1,466.3,493.1,519.2,568.2"
1,33,5,15,"5, 6, 7, 9,11,13,14,16,17,18","15, 1, 2, 3, 4, 8,10,12,19,20",1500,1500,62.62,122.298,1437.38,1377.702,3000,2815.082,1407.541,10,10,"0,34,51,93,113.5,151.7,220.7,248.2,275,301.1,313.1","0,79,176,229,296,350,422.5,487.5,562.1,594.49,611.49"
1,34,5,16,"5, 9,10,11,13,18","16, 1, 2, 3, 4, 6, 7, 8,12,14,15,17,19,20",900,2100,42.46,145.878,857.54,1954.122,3000,2811.662,1405.831,6,14,"0,12,79.1,138.7,176.9,200.3,212.3","0,28,125,178,245,317,334,394,418,441,489,566.8,627.9,660.29,729.39"
1,35,5,17,"5, 6, 7, 8,10,12,14,15,19,20","17, 1, 2, 3, 4, 9,11,13,16,18",1500,1500,95.818,144.2,1404.182,1355.8,3000,2759.982,1379.991,10,10,"0,34,51,111,183.5,248.5,271.5,319.5,368.7,401.09,479.09","0,55,152,205,272,326,346.5,384.7,433.9,694.9,721"
